ROUTINES,,,,,,,,
Name,Type,MEMORY,CPU,Cost,Availability,Legality,Effect,Description
Skillsoft (Skill name),Utility Routine,1,1,10000,COMMON,No Permit,Grants a SMALL bonus to one pre-selected skill (Determined at purchase),Provides an AI that will assist you when performing (pick one skill) checks
Data Purge,Utility Routine,1,1,10000,COMMON,No Permit,"If an attack would reduce your INTERNAL or CORE SYSTEM to 0, your NETWORK controller RESETS (All routines are offline) but the attack is negated.",Emergency system reboot designed as a last line of defense against hackers.
Cyberwall I,Utility Routine,1,1,10000,COMMON,No Permit,Grants a SMALL bonus to SOAK against TECH damage,SOAK reinforcement for a network users.
Mr. Fix-it,Utility Routine,2,1,10000,COMMON,No Permit,Any NETWORK NODE running Mr. Fix-It recover 1 SYSTEM during each maintenance.,Mr. Fix-It monitor's and maintain the SYSTEM of your network.
Gorilla backup,Utility Routine,1,3,30000,UNCOMMON,Restricted,You can transfer your entire DATACOM's memory to any other network NODE as a QUICK action (receiving node must have enough memory),Allows rapid movement of data of your network devices MEMORY.
Dr Tavish personal assistant,Utility Routine,1,1,10000,COMMON,No Permit,"Provides real time translation of any language, including some obscure darkspace dialects.",Popular commercial grade universal translator
McTavish Pro,Utility Routine,1,1,10000,COMMON,No Permit,"When your network takes any amount of SYSTEM damage, all NODE owners on the network gain a LARGE bonus to TECH SOAK until next maintenance",Corporate grade of the McTavish routines
Honey Pot,Utility Routine,1,1,10000,UNCOMMON,Restricted,"While Honey Pot is active, you can destroy it to steal one PROGRAM used against your network in the last turn.",Allows the capture of PROGRAM used against your network.
Noise Maker,Utility Routine,1,1,10000,UNCOMMON,Restricted,Grants a LARGE bonus to defenses against all CYBERINTEL attacks while your EXTERNAL NETWORK is still standing. Lose the effect if attacker has reached your INTERNAL NETWORK.,Defense against remote connections
Misdirection,Utility Routine,1,1,30000,RARE,Restricted,While active any effect that is not SYSTEM damage that would target the HOST NODE can be redirected to an allied CLIENT NODE of the defenders choice.,Provides the ability to setup cyber decoys
Encryption ,Utility Routine,1,1,10000,UNCOMMON,Restricted,"All PROGRAMS, GADGETS, ROUTINES and any data on the networks MEMORY are now considered CORE data and cannot be accessed by attackers until they reach the CORE NETWORK layer.",Encrypt all network data with a key that is only accesible from the CORE network.
ICE Pick,Utility Routine,1,1,10000,UNCOMMON,Restricted,All TECH attacks gain the DP modifier (Target Breached but -1 DMG),A black market tool designed to increase your hacking capabilities.
Cyberwall II,Utility Routine,2,1,20000,UNCOMMON,No Permit,Grants a LARGE bonus to SOAK against TECH damage,An improved version of the Cyberwall software.
Pink Slip,Utility Routine,1,1,10000,UNCOMMON,No Permit,You can SACRIFICE this program to remove any NODE (including the HOST NODE) in your network as QUICK action. Removing the HOST NODE removes the entire NETWORK.,Provides the NETWORK CONTROLLER with a quick way to boot NODES from their network.
